tree_id,legal_status,species,address,site_order,site_info,plant_type,care_taker,care_assistant,plant_date,dbh,plot_size,permit_notes,x_coordinate,y_coordinate,latitude,longitude,location
46024,Permitted Site,Tree(s) ::,,203,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
45007,Permitted Site,Tree(s) ::,,119,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44831,Permitted Site,Tree(s) ::,,3,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44903,Permitted Site,Tree(s) ::,,137,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
48193,Permitted Site,Tree(s) ::,,35,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
35798,Permitted Site,Arecastrum romanzoffianum :: Queen Palm,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1998-04-22 12:00:00.000000 UTC,,,Permit Number 39046,,,,,
48289,Permitted Site,Tree(s) ::,,99,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
44884,Permitted Site,Tree(s) ::,,157,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
35277,Permitted Site,Tree(s) ::,,6,Sidewalk: Curb side : Cutout,Tree,Private,,1998-02-17 12:00:00.000000 UTC,,,Permit Number 38758,,,,,
60491,Permitted Site,Tree(s) ::,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1982-12-01 12:00:00.000000 UTC,,,Permit Number 20089,,,,,
36837,Permitted Site,Tristaniopsis laurina :: Swamp Myrtle,,3,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-26 12:00:00.000000 UTC,,,Permit Number 39538,,,,,
34315,Permitted Site,Jacaranda mimosifolia :: Jacaranda,,25,Sidewalk: Curb side : Cutout,Tree,Private,,1997-07-14 12:00:00.000000 UTC,,,Permit Number 38095,6011565.6617548456,2101164.3321543303,37.750048765949913,-122.40281462336895,"(37.750048765949906, -122.40281462336897)"
44644,Permitted Site,Tree(s) ::,,62,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
44999,Permitted Site,Tree(s) ::,,103,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
44901,Permitted Site,Tree(s) ::,,135,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
45014,Permitted Site,Tree(s) ::,,86,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
35282,Permitted Site,Tree(s) ::,,2,Sidewalk: Curb side : Cutout,Tree,Private,,1998-02-17 12:00:00.000000 UTC,,,Permit Number 38758,,,,,
44889,Permitted Site,Tree(s) ::,,152,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
45986,Permitted Site,Tree(s) ::,,226,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44956,Permitted Site,Tree(s) ::,,69,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
48162,Permitted Site,Tree(s) ::,,272,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
45384,Permitted Site,Lophostemon confertus :: Brisbane Box,,2,Sidewalk: Curb side : Cutout,Tree,Private,,2001-07-06 12:00:00.000000 UTC,,,Permit Number 44200,5989322.60767277,2117225.7623772528,37.792881973672458,-122.48090723785944,"(37.79288197367246, -122.48090723785944)"
34312,Permitted Site,Jacaranda mimosifolia :: Jacaranda,,22,Sidewalk: Curb side : Cutout,Tree,Private,,1997-07-14 12:00:00.000000 UTC,,,Permit Number 38095,6011565.6617548456,2101164.3321543303,37.750048765949913,-122.40281462336895,"(37.750048765949906, -122.40281462336897)"
34004,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,,3,Sidewalk: Curb side : Cutout,Tree,Private,,,,,Permit Number 37940,,,,,
36866,Permitted Site,Arbutus 'Marina' :: Hybrid Strawberry Tree,,12,Sidewalk: Curb side : Cutout,Tree,Private,,1998-05-26 12:00:00.000000 UTC,,,Permit Number 39538,,,,,
48064,Permitted Site,Tree(s) ::,,223,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
34311,Permitted Site,Jacaranda mimosifolia :: Jacaranda,,32,Sidewalk: Curb side : Cutout,Tree,Private,,1997-07-14 12:00:00.000000 UTC,,,Permit Number 38095,6011565.6617548456,2101164.3321543303,37.750048765949913,-122.40281462336895,"(37.750048765949906, -122.40281462336897)"
46306,Permitted Site,Robinia x ambigua :: Locust,,19,Sidewalk: Curb side : Cutout,Tree,Private,,2002-01-31 12:00:00.000000 UTC,,,Permit Number 44564,,,,,
93053,Permitted Site,Pinus Spp :: Pine Spp,,,Front Yard : Yard,Tree,Private,,2010-04-28 12:00:00.000000 UTC,36,,Permit Number 53387,,,,,
45893,Permitted Site,Tree(s) ::,,13,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
44647,Permitted Site,Tree(s) ::,,58,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
44989,Permitted Site,Tree(s) ::,,83,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
35700,Permitted Site,Liriodendron tulipifera :: Tulip Tree,,14,Sidewalk: Curb side : Cutout,Tree,Private,,1998-04-10 12:00:00.000000 UTC,,,Permit Number 38993,,,,,
44914,Permitted Site,Tree(s) ::,,187,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-25 12:00:00.000000 UTC,,,Permit Number 43922,,,,,
34906,Permitted Site,Magnolia grandiflora :: Southern Magnolia,,1,Sidewalk: Curb side : Cutout,Tree,Private,,1997-09-05 12:00:00.000000 UTC,,,Permit Number 38505,,,,,
48261,Permitted Site,Tree(s) ::,,125,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
48198,Permitted Site,Tree(s) ::,,40,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
45995,Permitted Site,Tree(s) ::,,120,Sidewalk: Curb side : Cutout,Tree,Private,,2001-12-06 12:00:00.000000 UTC,,,Permit Number 44451,,,,,
48287,Permitted Site,Tree(s) ::,,97,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
44636,Permitted Site,Tree(s) ::,,164,Sidewalk: Curb side : Cutout,Tree,Private,,2001-04-29 12:00:00.000000 UTC,,,Permit Number 43835,,,,,
48186,Permitted Site,Tree(s) ::,,79,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
48191,Permitted Site,Tree(s) ::,,32,Sidewalk: Curb side : Cutout,Tree,Private,,2002-07-17 12:00:00.000000 UTC,,,Permit Number 45761,,,,,
